"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","0","0","24","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","0","0","8","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/TransformGizmoMaterial.TransformGizmoMaterial","0","0","2","1","0.000000","0","0"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","0","0","76","6","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/Xray.Xray","0","0","12","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/Main.Main","0","0","8","1","0.000000","0","0"
"/Engine/EngineMaterials/BaseFlattenMaterial.BaseFlattenMaterial","0","0","53","1","0.000000","0","0"
"/Engine/EngineSky/VolumetricClouds/m_SimpleVolumetricCloud.m_SimpleVolumetricCloud","0","0","52","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultPostProcessMaterial.DefaultPostProcessMaterial","0","0","6","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","0","0","19","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultDeferredDecalMaterial.DefaultDeferredDecalMaterial","0","0","115","1","0.000000","0","0"
"/Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial","0","0","962","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque","0","0","36","1","0.000000","0","0"
"/Engine/EngineMaterials/PPM_DefaultCalibrationGrayscale.PPM_DefaultCalibrationGrayscale","0","0","4","1","0.000000","0","0"
"/Engine/EngineMaterials/PPM_DefaultCalibrationColor.PPM_DefaultCalibrationColor","0","0","4","1","0.000000","0","0"
"/Game/Mannequin/Character/Materials/M_Male_Body.M_Male_Body","0","0","156","2","0.000000","0","0"
"/Engine/EditorMaterials/PreviewShadowIndicatorMaterial.PreviewShadowIndicatorMaterial","0","0","19","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","0","0","8","1","0.000000","0","0"
"/Engine/BasicShapes/BasicShapeMaterial.BasicShapeMaterial","0","0","63","1","0.000000","0","0"
"/Game/Asteroids/NewMaterial.NewMaterial","0","0","21","1","0.000000","0","0"
"/Game/SpaceshipInterior/Materials/M_Scifi_Door_01.M_Scifi_Door_01","0","0","21","1","0.000000","0","0"
"/Game/SpaceshipInterior/Materials/M_Scifi_Glow.M_Scifi_Glow","0","0","21","1","0.000000","0","0"
"/Engine/EngineSky/M_Sky_Panning_Clouds2.M_Sky_Panning_Clouds2","0","0","2","1","0.000000","0","0"
"/Game/SpaceScene/SkyBox/SkySphere.SkySphere","0","0","2","1","0.000000","0","0"
"/Game/SpaceshipInterior/Materials/M_Scifi_Wall_04.M_Scifi_Wall_04","0","21","3","1","14.854604","0","66"
"/Game/SpaceshipInterior/Materials/M_Scifi_Floor_03.M_Scifi_Floor_03","0","0","49","1","0.000000","0","0"
"/Game/SpaceshipInterior/Materials/M_Scifi_Stripe_Decal_02.M_Scifi_Stripe_Decal_02","0","0","31","1","0.000000","0","0"
"/Game/SpaceshipInterior/Materials/M_Scifi_Stripe_Decal_01.M_Scifi_Stripe_Decal_01","0","0","31","1","0.000000","0","0"
"/Game/SpaceshipInterior/Materials/M_Scifi_Signs_Decal_04.M_Scifi_Signs_Decal_04","0","0","31","1","0.000000","0","0"
"/Game/SpaceshipInterior/Materials/M_Scifi_Signs_Decal_03.M_Scifi_Signs_Decal_03","0","0","31","1","0.000000","0","0"
"/Game/SpaceshipInterior/Materials/M_Scifi_Signs_Decal_02.M_Scifi_Signs_Decal_02","0","0","31","1","0.000000","0","0"
"/Game/SpaceshipInterior/Materials/M_Scifi_Signs_Decal_01.M_Scifi_Signs_Decal_01","0","0","31","1","0.000000","0","0"
"/Game/SpaceshipInterior/Materials/M_Scifi_Pillar_01_Color.M_Scifi_Pillar_01_Color","0","0","21","1","0.000000","0","0"
"/Game/SpaceshipInterior/Materials/M_Scifi_Glass.M_Scifi_Glass","0","0","42","1","0.000000","0","0"
"/Game/SpaceshipInterior/Materials/M_Scifi_Decal_01.M_Scifi_Decal_01","0","0","31","1","0.000000","0","0"
"/Game/Geometry/Meshes/CubeMaterial.CubeMaterial","0","0","21","1","0.000000","0","0"
"/Game/CharcterMesh/untitled_fbm/Wolf3D_Teeth.Wolf3D_Teeth","0","0","24","1","0.000000","0","0"
"/Game/CharcterMesh/untitled_fbm/Wolf3D_Skin.Wolf3D_Skin","0","0","24","1","0.000000","0","0"
"/Game/CharcterMesh/untitled_fbm/Wolf3D_Outfit_Top.Wolf3D_Outfit_Top","0","0","24","1","0.000000","0","0"
"/Game/CharcterMesh/untitled_fbm/Wolf3D_Outfit_Footwear.Wolf3D_Outfit_Footwear","0","0","24","1","0.000000","0","0"
"/Game/CharcterMesh/untitled_fbm/Wolf3D_Outfit_Bottom.Wolf3D_Outfit_Bottom","0","0","24","1","0.000000","0","0"
"/Game/CharcterMesh/untitled_fbm/Wolf3D_Headwear.Wolf3D_Headwear","0","0","24","1","0.000000","0","0"
"/Game/CharcterMesh/untitled_fbm/Wolf3D_Facewear.Wolf3D_Facewear","0","0","24","1","0.000000","0","0"
"/Game/CharcterMesh/untitled_fbm/Wolf3D_Eye.Wolf3D_Eye","0","0","24","1","0.000000","0","0"
